pealkiri;nimetus
Erastataval maal asuva metsa maksumuse määramise korra kinnitamine;Riigi kasuks seatud hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Riigi kasuks seatud hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
Maareformi seadus;Riigi kasuks seatud hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
Kinnisasja omandamise kitsendamise seadus;Loa taotlemine kinnisasja omandamiseks
Maareformi seadus;Kasutusvaldusesse antud maa omandamine
Maareformi käigus kasutusvaldusesse antud maa omandamise seadus;Kasutusvaldusesse antud maa omandamine
„Maareformi seaduse” § 31 lõikes 2 nimetatud maa ajutiseks kasutamiseks andmise kord;Riigi omandis oleva maa ajutiseks kasutamiseks andmine
Maareformi seadus;Riigi omandis oleva maa ajutiseks kasutamiseks andmine
Maareformi seadus;Maa väljaostuvõla kustutamine ja müügihinna vähendamine
Maa ostueesõigusega erastamise korra kinnitamine;Maa väljaostuvõla kustutamine ja müügihinna vähendamine
Maa enampakkumisega erastamise korra kinnitamine;Maa väljaostuvõla kustutamine ja müügihinna vähendamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Maa väljaostuvõla kustutamine ja müügihinna vähendamine
Maareformi seadus;Kasutusvalduse lepingu lõpetamine ja uue sõlmimine
Eesti spordiregistri asutamine ja registri pidamise põhimäärus;Spordiorganisatsiooni andmete esitamine
Eesti spordiregistri asutamine ja registri pidamise põhimäärus;Spordiobjekti andmete esitamine
Treeneri tööjõukulu toetuse määramise tingimused, sealhulgas nõuded spordialaliidule, spordiklubile ja spordikoolile ning selle omaosalusele, treeningrühmale ja treenerile, ning toetuse suuruse, jaotamise, tagasimaksmise ja tagasinõudmise kord;Noortetreenerite tööjõukulude toetuse taotlemine
Riikliku statistika seadus;Pressiteadete ja väljaannete ilmumise, andmbaasi ja valmistabelite uuenduste teavituse tellimine
Riikliku statistika seadus;Kaugpäring
Riikliku statistika seadus;Statistika avaldamiskalender
Riikliku statistika seadus;Konsultatsioon andmete esitamise kohta
Klassifikaatorite süsteem;Konsultatsioon klassifikaatorite kasutamise kohta
Riikliku statistika seadus;Konsultatsioon Eesti ja Euroopa Liidu riikide statistika kättesaadavuse ja kasutamise kohta
Riikliku statistika seadus;Säästva  arengu  näitajad
Veeseadus1;Vee terviseohutuse enesekontrolli andmete esitamine
Vee terviseohutuse infosüsteemi asutamine ja infosüsteemi pidamise põhimäärus;Vee terviseohutuse enesekontrolli andmete esitamine
Vee terviseohutuse infosüsteemi asutamine ja infosüsteemi pidamise põhimäärus;Vee terviseohutuse järelevalve ja andmete avalikustamine
Rahvatervise seadus1;Vee terviseohutuse järelevalve ja andmete avalikustamine
Tervishoiuteenuste korraldamise seadus;Tervishoiustatistika ja tervishoiualase majandustegevuse aruanded
Tervise Arengu Instituudi põhimäärus;Tervishoiustatistika ja tervishoiualase majandustegevuse aruanded
Tervishoiuteenuste korraldamise seadus;Tervisestatistika ja terviseuuringute avalik andmebaas
Tervise Arengu Instituudi põhimäärus;Tervisestatistika ja terviseuuringute avalik andmebaas
Avaliku teabe seadus1;Tervisestatistika ja terviseuuringute avalik andmebaas
Avaliku teabe seadus1;NutriData
Tervise Arengu Instituudi põhimäärus;Süstla Vahetuse Infosüsteem (SVIS)
Tervise infosüsteemi edastatavate dokumentide andmekoosseisud ning nende säilitamise tingimused ja kord;Patsientide tervisega seotud andmete teenus tervishoiuteenuse osutajale
Tervise infosüsteemi eetikakomitee töökord, komitee liikmete arv ja määramise kord;Patsientide tervisega seotud andmete teenus tervishoiuteenuse osutajale
Tervise infosüsteemi põhimäärus;Patsientide tervisega seotud andmete teenus tervishoiuteenuse osutajale
Tervishoiuteenuste korraldamise seadus1;Patsientide tervisega seotud andmete teenus tervishoiuteenuse osutajale
Tervishoiuteenuste korraldamise seadus1;Patsientide tervisega seotud andmete teenus patsientidele
Tervise infosüsteemi põhimäärus;Patsientide tervisega seotud andmete teenus patsientidele
Ravikindlustuse seadus1;Patsientide tervisega seotud andmete teenus patsientidele
Ravikindlustuse seadus1;e-konsultatsiooni teenus arstile
Eesti Haigekassa tervishoiuteenuste loetelu;e-konsultatsiooni teenus arstile
Meditsiiniliste ülesvõtete liigid, neile esitatavad infotehnoloogilised nõuded ning kättesaadavaks tegemise tingimused ja kord;Digiarhiivi (digipildi) teenus
Tervishoiuteenuste korraldamise seadus1;Digiarhiivi (digipildi) teenus
Kiirabibrigaadi koosseisu ja varustuse nõuded ning tööjuhend;Teenus kiirabi töötajatele
Tervishoiuteenuste korraldamise seadus1;Teenus kiirabi töötajatele
Tervise infosüsteemi edastatavate dokumentide andmekoosseisud ning nende säilitamise tingimused ja kord;Teenus kiirabi töötajatele
Kiirabi, haiglate ning päästeasutuste ja politsei kiirabialase koostöö kord[RT I, 29.12.2011, 138 - jõust. 01.01.2012] ;Teenus kiirabi töötajatele
Tervishoiuteenuse osutamise dokumenteerimise ning nende dokumentide säilitamise tingimused ja kord;Teenus kiirabi töötajatele
Tervishoiuteenuste korraldamise seadus1;Laboriandmete teenus
Tervise infosüsteemi edastatavate dokumentide andmekoosseisud ning nende säilitamise tingimused ja kord;Laboriandmete teenus
Puuetega inimeste sotsiaaltoetuste seadus;Puude ja töövõime määramise teenus
Puude raskusastme ja lisakulude tuvastamiseks, püsiva töövõimetuse tuvastamiseks ning ajutise töövõimetuslehe pikendamiseks vajalike tervise infosüsteemi andmete loetelu ja päringute perioodid;Puude ja töövõime määramise teenus
Tervise infosüsteemi põhimäärus;Terviseandmete statistika
Tervise infosüsteemi põhimäärus;Tervisetõendi teenus
Tervise infosüsteemi edastatavate dokumentide andmekoosseisud ning nende säilitamise tingimused ja kord;Tervisetõendi teenus
Tervishoiuteenuse osutamise dokumenteerimise ning nende dokumentide säilitamise tingimused ja kord;Tervisetõendi teenus
Töötervishoiu ja tööohutuse seadus;Uue ehitise ülevaatus
Töötervishoiu ja tööohutuse seadus;Nõusoleku andmine alaealise töölevõtmiseks
Töötervishoiu ja tööohutuse seadus;Töökeskkonna järelevalve ja isikukaitsevahendite turujärelevalve
Töötervishoiu ja tööohutuse seadus;Töösuhete järelevalve (sh sõidukijuhtide töö- ja puhkeaja järelevalve)
Töötervishoiu ja tööohutuse seadus;Raskete või surmaga lõppenud tööõnnetuse uurimine
Töötervishoiu ja tööohutuse seadus;Tööõnnetuse menetlemine
Töötervishoiu ja tööohutuse seadus;Kutsehaigestumise uurimine
Individuaalse töövaidluse lahendamise seadus;Töövaidluse lahendamine
Töötervishoiu ja tööohutuse seadus;Töökeskkonnanõukogu moodustamise teatis
Töötervishoiu ja tööohutuse seadus;Töökeskkonnaspetsialisti määramise teatis
Töötervishoiu ja tööohutuse seadus;Töökeskkonnavoliniku valimise teatis
Töötervishoiu ja tööohutuse seadus;Töökeskkonnanõukogu aruande esitamine
Asbestitööle esitatavad töötervishoiu ja tööohutuse nõuded1;Asbestitööde alustamise teade
Bioloogilistest ohuteguritest mõjutatud töökeskkonna töötervishoiu ja tööohutuse nõuded1;Bioloogilise ohuteguriga (2., 3., 4. ohuklass) esmakordse töö alustamise teade
Bioloogilistest ohuteguritest mõjutatud töökeskkonna töötervishoiu ja tööohutuse nõuded1;Bioloogiliste ohutegurite käitlemise teatis
Bioloogilistest ohuteguritest mõjutatud töökeskkonna töötervishoiu ja tööohutuse nõuded1;Bioloogiliste ohuteguritega seotud õnnetuse/ohuolukorra teade
Töötervishoiu ja tööohutuse nõuded ehituses1;Ehitustööde alustamise eelteade
Geneetiliselt muundatud mikroorganismide suletud keskkonnas kasutamise seadus1;Geneetiliselt muundatud mikroorganismide (2. ohuklassi GMMO) esmakordse kasutamise teade koos loa taotlusega
Geneetiliselt muundatud mikroorganismide suletud keskkonnas kasutamise seadus1;Geneetiliselt muundatud mikroorganismide kasutamisel toimunud õnnetusjuhtumi teade
Kantserogeensete ja mutageensete kemikaalide käitlemisele esitatavad töötervishoiu ja tööohutuse nõuded1;Kantserogeensete või mutageensete kemikaalide käitlemise teade
Töötervishoiu ja tööohutuse seadus;Tegevuse alustamise või tegevusala muutmise teatis
Avaliku teabe seadus1;Teabenõue Tööinspektsioonile
Märgukirjale ja selgitustaotlusele vastamise ning kollektiivse pöördumise esitamise seadus[RT I, 01.04.2014, 1 - jõust. 11.04.2014] ;Selgitustaotlus Tööinspektsioonile
Tööinspektsiooni põhimäärus;Tööinspektsiooni nõustamisteenus
Tööinspektsiooni põhimäärus;Töökeskkonna konsultandi teenus
Tööinspektsiooni põhimäärus;Kaebus Tööinspektsioonile
Tööinspektsiooni põhimäärus;Vihje Tööinspektsioonile
Haldusmenetluse seadus;Vaide menetlemine
Avaliku teabe seadus1;Teabe avalikustamine
Lõhkematerjaliseadus1;Ajutiselt Eestis tegutsemisest teatamine
Lõhkematerjaliseadus1;Lõhkematerjalilao käitamisloa taotluse läbivaatamine
Lõhkematerjaliseadus1;Väljaspool lõhkematerjaliladu lõhkematerjali hoidmise loa taotluse läbivaatamine
Lõhkematerjaliseadus1;Enamohtliku lõhketöö loa taotluse läbivaatamine
Lõhkematerjaliseadus1;Enamohtliku lõhketöö loa pikendamise taotluse läbivaatamine
Lõhkematerjaliseadus1;Lõhkematerjali sisseveo loa taotluse läbivaatamine
Lõhkematerjaliseadus1;Lõhkematerjali väljaveo loa taotluse läbivaatamine
Lõhkematerjaliseadus1;Lõhkematerjali veoloa taotluse läbivaatamine
Lõhkematerjaliseadus1;Lõhkematerjali veoloa kooskõlastamine
Lõhkematerjaliseadus1;Pädevustunnistuse taotluse läbivaatamine
Lõhkematerjaliseadus1;Pädevustunnistuse duplikaadi väljastamised
Lõhkematerjaliseadus1;Pürotehnilise toote käitlemise tegevusloa taotluse läbivaatamine
Lõhkematerjaliseadus1;Pürotehnilise toote ettevalmistuskohale heakskiidu andmine
Lõhkematerjaliseadus1;Pürotehnilise toote Eestisse toomisest teatamine
Lõhkematerjaliseadus1;Kohtutäituri täitemenetluse toimingu kooskõlastamine
Kemikaaliseadus1;Ohtliku kemikaali käitlemise tegevusloa taotluse läbivaatamine - A-kategooria suurõnnetuse ohuga ettevõte
Kemikaaliseadus1;Ohtliku kemikaali käitlemise tegevusloa taotluse läbivaatamine - B-kategooria suurõnnetuse ohuga ettevõte
Kaevandamisseadus;Ohtliku kemikaali käitlemise tegevusloa taotluse läbivaatamine - ohtlik ettevõte
Kemikaaliseadus1;Kohustusliku dokumentatsiooni kooskõlatamine
Kemikaaliseadus1;Õnnetusest teavitamine
Lõhkematerjaliseadus1;Õnnetusest teavitamine
Kaevandamisseadus;Õnnetusest teavitamine
Mõõteseadus1;Mõõtevahendi siseriikliku tüübikinnitustunnistuse väljastamine ja muutmine
Mõõteseadus1;Mõõtevahendi taadelduks tunnistamine
Mõõteseadus1;Teatise väljastamine RHM määruse 100 (kehtetu) alusel
Mõõteseadus1;Taatlusmärgiste valmistaja valimine/määramine
Mõõteseadus1;Väljastatud mõõtevahendite siseriiklike tüübikinnituste loetelu haldamine
Mõõteseadus1;Mittevastavast mõõtevahedist teavitamine läbi TJA kodulehe
Mõõteseadus1;Informeerimine ja teavitamine
Masina ohutuse seadus1;Personali sertifitseerimisasutuse pädevuseksamil osalemine
Masina ohutuse seadus1;Paigaldise või seadmega toimunud õnnetusest teavitamine
Masina ohutuse seadus1;Registreerimiskohustusega masinate tehniliste kontrollide andmekogu pidamine
Masina ohutuse seadus1;Menetlustaotluste menetlemine
Elektroonilise side seadus1;Raadiosagedusloa väljastamine
Elektroonilise side seadus1;Raadiosagedusloa pikendamine
Elektroonilise side seadus1;Raadiosagedusloa muutmine
Elektroonilise side seadus1;Raadiosagedusloaga kehtestatud õiguste ja kohustuste üleandmine
Elektroonilise side seadus1;Raadiosagedusloa otsuse ärakirja väljastamine
Elektroonilise side seadus1;Raadiohäire teate lahendamine
Elektroonilise side seadus1;Numbriloa väljastamine
Elektroonilise side seadus1;Numbriloa pikendamine / ennistamine
Elektroonilise side seadus1;Numbriloa muutmine
Digitaalallkirja seadus1;Sertifitseerimisteenuse osutaja registreerimine
Meediateenuste seadus1;Meediateenuste loa väljastamine
Meediateenuste seadus1;Tellitava audiovisuaalmeediateenuse osutaja registreerimine
Elektroonilise side seadus1;Sideteenuse osutamise majandustegevusteate registreerimine
Elektroonilise side seadus1;Veeremi remondiloa väljastamine
Elektroonilise side seadus1;Tegevuseeskirjade kooskõlastamine ja kinnitamine
Elektroonilise side seadus1;Ohutusjuhtimise süsteemi kooskõlastamine ja kinnitamine
Elektroonilise side seadus1;Ohutustunnistuste väljastamine
Elektroonilise side seadus1;Raudteeveeremi kasutuselevõtuloa väljastamine
Elektroonilise side seadus1;Diiselmootorite tüübikinnitustunnistuste väljastamine
Elektroonilise side seadus1;Vedurijuhilubade väljastamine
Elektroonilise side seadus1;Raudteeveol töötava ohutusnõuniku eksami läbiviimine
Elektroonilise side seadus1;Raudteeveol töötava ohutusnõuniku tunnistuse väljastamine
Elektroonilise side seadus1;Vedurijuhtide koolituskavade kooskõlastamine
Elektroonilise side seadus1;Raudteeveeremi registreerimine
Elektroonilise side seadus1;Järelevalvetoimingu protokolli väljastamine
Elektroonilise side seadus1;Ettekirjutuste väljastamine
Elektroonilise side seadus1;Raudteeveeremi registreerimistunnistuste väljastamine
Elektroonilise side seadus1;Raudteevõrgustiku teadaannete heakskiitmine
Elektroonilise side seadus1;Läbilaskevõime jaotamine
Elektroonilise side seadus1;Liiklusgraafikute kinnitamine
Elektroonilise side seadus1;Kaubaveoeeskirjade läbivaatamine ja kinnitamine
Elektroonilise side seadus1;Ohutusnäitajate ja aruannete kontrollimine
Raudteeseadus;Planeeringute menetlemine
Raudteeseadus;Projekteerimistingimuste kooskõlastamine
Raudteeseadus;Mitteavalikul raudteel tegutsemise ohutustunnistuste väljastamine
Ehitusseadus1;Raudteerajatiste ehitus- ja kasutuslubade menetlemine
Ehitusseadus1;Raudteerajatiste kirjaliku nõusoleku väljastamine
Majandustegevuse seadustiku üldosa seadus1;Raudtee-ehituse tegevuslubade väljastamine
Elektroonilise side seadus1;Raudteeliiklusregistri toimingud
Elektroonilise side seadus1;Raudtee järelevalve
Välisriigi kutsekvalifikatsiooni tunnustamise seadus1;Välisriigi kutsekvalifikatsiooni tunnustamine
Raudteeseadus;Raudteekaitsevööndis tegutsemiseks kirjaliku nõusoleku väljastamine
Raudteeinfrastruktuuri kasutustasu arvestamise metoodika;Raudteeinfrastruktuuri kasutustasude kehtestamine
Perioodi 2014–2020 struktuuritoetuse seadus;Struktuurivahendite rakendamine
Tehnilise Järelevalve Ameti põhimäärus;Tehnilise Järelevalve Ameti klientide küsimustele vastamine, dokumentide vastuvõtmine
Ehitusseadustik1;Välisriigis omandatud kutsekvalifikatsiooni tunnustamine
Tarbijakaitseseadus1[RT I 2007, 56, 375 - jõust. 12.12.2007] ;Küsimus/vihje tarbijakaitseametile
Tarbijakaitseseadus1[RT I 2007, 56, 375 - jõust. 12.12.2007] ;Tarbijakaitseamet.ee/kiosk
Tarbijakaitseseadus1;Avaldus tarbijavaidluste komisjonile
Tarbijakaitseseadus1;Tarbijakaitseameti vastuvõtt
Tarbijakaitseseadus1;Tarbijakaitseameti nõuandetelefon
Rahvastikuregistri seadus;Abielu sõlmimine
Perekonnaseisutoimingute seadus;Abielu sõlmimine
Perekonnaseadus;Abielu sõlmimine
Rahvastikuregistri seadus;Abielu lahutamine
Perekonnaseadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Isikule uue eesnime, perekonnanime või isikunime andmise kord ja avalduse vorm;Nime muutmine
Nimeseadus;Nime muutmine
Rahvastikuregistri seadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Nimeseadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Rahvastikuregistri seadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Perekonnaseadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Perekonnaseisutoimingute seadus;Perekonnaseisutõendite väljastamine
Rahvastikuregistri seadus;Perekonnaseisutõendite väljastamine
Riigilõivuseadus;Perekonnaseisutõendite väljastamine
Perekonnaseisutoimingute seadus;Lapsendamine
Sotsiaalhoolekande seadus;Lapsendamine
Perekonnaseadus;Lapsendamine
Sotsiaalhoolekande seadus;Lapsehoiu tegevusloa andmine
Majandustegevuse registrisse kantavate teenuse osutaja andmete loetelu ja teavitamist vajavate muudetud andmete loetelu kehtestamine;Lapsehoiu tegevusloa andmine
Riigi rahastatava lapsehoiuteenuse maksimaalse maksumuse ning asenduskoduteenuse maksimaalse maksumuse ja hinna kehtestamine[RT I 2009, 24, 148 - jõust. 10.05.2009] ;Lapsehoiu tegevusloa andmine
Tervisekaitsenõuded lapsehoiuteenusele;Lapsehoiu tegevusloa andmine
Majandustegevuse seadustiku üldosa seadus1;Lapsehoiu tegevusloa andmine
Majandustegevuse registrisse kantavate teenuse osutaja andmete loetelu ja teavitamist vajavate muudetud andmete loetelu kehtestamine;Lapsehoiu tegevusloa andmine
Majandustegevuse registrisse kantavate teenuse osutaja andmete loetelu ja teavitamist vajavate muudetud andmete loetelu kehtestamine;Asenduskodu tegevusloa andmine
Asenduskodule, koolkodule või noortekodule esitatavad nõuded lapse ajutiselt perekonda andmise korraldamiseks[RT I, 29.10.2010, 4 - jõust. 01.11.2010] ;Asenduskodu tegevusloa andmine
Riigi rahastatava lapsehoiuteenuse maksimaalse maksumuse ning asenduskoduteenuse maksimaalse maksumuse ja hinna kehtestamine[RT I 2009, 24, 148 - jõust. 10.05.2009] ;Asenduskodu tegevusloa andmine
Sotsiaalhoolekande seadus;Asenduskodu tegevusloa andmine
Majandustegevuse seadustiku üldosa seadus1;Asenduskodu tegevusloa andmine
Sotsiaalhoolekande seadus;Lapse paigutamine riiklikule hoolekandele
Alaealise mõjutusvahendite seadus;Alaealise õigusrikkumise esitamine arutamiseks alaealiste komisjonis
Sotsiaalhoolekande seadus;Vaiete esitamine ja lahendamine
Haldusmenetluse seadus;Vaiete esitamine ja lahendamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Riigi kasuks seatud hüpoteegi kustutamine
Maa ostueesõigusega erastamise korra kinnitamine;Riigi kasuks seatud hüpoteegi kustutamine
Maareformi seadus;Riigi kasuks seatud hüpoteegi kustutamine
Maa enampakkumisega erastamise korra kinnitamine;Riigi kasuks seatud hüpoteegi kustutamine
Maareformi seadus;Riigi kasuks seatud hüpoteegi vähendamine
Maa enampakkumisega erastamise korra kinnitamine;Riigi kasuks hüpoteegiga koormatud kinnistu jagamine
Maareformi seadus;Riigi kasuks hüpoteegiga koormatud kinnistu jagamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Riigi kasuks hüpoteegiga koormatud kinnistu jagamine
Maa ostueesõigusega erastamise korra kinnitamine;Riigi kasuks hüpoteegiga koormatud kinnistu jagamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Hüpoteegiga koormatud kinnistutel kasvava metsa raieks loa andmine
Maareformi seadus;Hüpoteegiga koormatud kinnistutel kasvava metsa raieks loa andmine
Metsaseadus1;Hüpoteegiga koormatud kinnistutel kasvava metsa raieks loa andmine
Erastataval maal asuva metsa maksumuse määramise korra kinnitamine;Hüpoteegiga koormatud kinnistutel kasvava metsa raieks loa andmine
Maareformi seadus;Riigi kasuks seatud võlakohustuste ülevõtmine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Riigi kasuks seatud võlakohustuste ülevõtmine
Maa ostueesõigusega erastamise korra kinnitamine;Riigi kasuks seatud võlakohustuste ülevõtmine
Maa enampakkumisega erastamise korra kinnitamine;Riigi kasuks seatud võlakohustuste ülevõtmine
Maareformi seadus;Riigimaa ajutiseks kasutamiseks andmine
“Maareformi seaduse” § 31 lõikes 2 nimetatud maa ajutiseks kasutamiseks andmise kord;Riigimaa ajutiseks kasutamiseks andmine
Maareformi seadus;Riigi kasuks seatud võlakohustuste ülevõtmine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Riigi kasuks seatud võlakohustuste ülevõtmine
Maa enampakkumisega erastamise korra kinnitamine;Riigi kasuks seatud võlakohustuste ülevõtmine
Maa ostueesõigusega erastamise korra kinnitamine;Riigi kasuks seatud võlakohustuste ülevõtmine
Maareformi käigus kasutusvaldusesse antud maa omandamise seadus;Kasutusvaldusse antud maa omandamine
Maareformi seadus;Kasutusvaldusse antud maa omandamine
Kinnisasja omandamise kitsendamise seadus;Kinnisasja omandamine
Ühistranspordiseadus;Maakonnasisese bussiliiniloa andmine
Veeseadus;Veeliikluse piirangute kehtestamine
Haldusmenetluse seadus;Veeliikluse piirangute kehtestamine
Tööstusomandi õiguskorralduse aluste seadus;TOAK otsuse avaldamine
Tööstusomandi õiguskorralduse aluste seadus;TOAK lõppmenetluse alustamise teade
Etendusasutuse seadus;Etendustegevus
Avaliku teabe seadus;Infopäringutele ja teabenõuetele vastamine
Riigilõivuseadus;Abielu registreerimine
Perekonnaseadus;Abielu registreerimine
Perekonnaseisukannete tegemise ning väljatrüki edastamise ja säilitamise kord;Abielu registreerimine
Nimeseadus;Abielu registreerimine
Perekonnaseisutoimingute seadus;Abielu registreerimine
Rahvastikuregistri seadus;Abielu registreerimine
Nimeseadus;Nime muutmine
Rahvastikuregistri seadus;Nime muutmine
Riigilõivuseadus;Nime muutmine
Nimeseadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Rahvastikuregistri seadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Nimeseadus;Andmete parandamine, muutmine
Perekonnaseadus;Andmete parandamine, muutmine
Perekonnaseisutoimingute seadus;Andmete parandamine, muutmine
Rahvastikuregistri seadus;Andmete parandamine, muutmine
Perekonnaseadus;Surma registreerimine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Rahvastikuregistri seadus;Abielu lahutamine
Nimeseadus;Abielu lahutamine
Perekonnaseadus;Abielu lahutamine
Riigilõivuseadus;Perekonnasesutõendite väljastamine
Perekonnaseisutoimingute seadus;Perekonnasesutõendite väljastamine
Rahvastikuregistri seadus;Perekonnasesutõendite väljastamine
Perekonnaseisutoimingute seadus;Abieluvõime tõendi väljastamine
Rahvastikuregistri seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Perekonnaseisutoimingute seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Tsiviilkohtumenetluse seadustik;Lapsendamine
Perekonnaseadus;Lapsendamine
Riigi rahastatava lapsehoiuteenuse maksimaalse maksumuse ning asenduskoduteenuse maksimaalse maksumuse ja hinna kehtestamine[RT I 2009, 24, 148 - jõust. 10.05.2009] ;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Sotsiaalhoolekande seadus;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Tervisekaitsenõuded asenduskoduteenusele;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Kohaliku omavalitsuse poolt kogutavate ja säilitatavate asenduskoduteenusel viibiva lapse dokumentide loetelu, asenduskoduteenuse osutajale üle antavate asenduskoduteenusel viibiva lapse dokumentide loetelu ning asenduskoduteenuse osutaja kohustuste täpsema sisu kehtestamine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Majandustegevuse seadustiku üldosa seadus1;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Majandustegevuse registrisse kantavate teenuse osutaja andmete loetelu ja teavitamist vajavate muudetud andmete loetelu kehtestamine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Sotsiaalhoolekande seadus;Lapse riiklikule hoolekandele paigutamine
Alaealise mõjutusvahendite seadus;Alaealiste komisjoni toimingud
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Riigi kasuks seatud hüpoteegi kustutamine
Maareformi seadus;Riigi kasuks seatud hüpoteegi kustutamine
Maa enampakkumisega erastamise korra kinnitamine;Riigi kasuks seatud hüpoteegi kustutamine
Maa ostueesõigusega erastamise korra kinnitamine;Riigi kasuks seatud hüpoteegi kustutamine
Maareformi seadus;Riigi kasuks seatud hüpoteegi vähendamine
Maareformi seadus;Hüpoteegiga koormatud kinnistu jagamine
Maa ostueesõigusega erastamise korra kinnitamine;Hüpoteegiga koormatud kinnistu jagamine
Maa enampakkumisega erastamise korra kinnitamine;Hüpoteegiga koormatud kinnistu jagamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Hüpoteegiga koormatud kinnistu jagamine
Maareformi seadus;Hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
Erastataval maal asuva metsa maksumuse määramise korra kinnitamine;Hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
Metsaseadus1;Hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
Maareformi seadus;Riigi kasuks seatud võlakohustuste ülevõtmine
Maa ostueesõigusega erastamise korra kinnitamine;Riigi kasuks seatud võlakohustuste ülevõtmine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Riigi kasuks seatud võlakohustuste ülevõtmine
Maa enampakkumisega erastamise korra kinnitamine;Riigi kasuks seatud võlakohustuste ülevõtmine
Maareformi seadus;Maa ajutiseks kasutuseks andmine
“Maareformi seaduse” § 31 lõikes 2 nimetatud maa ajutiseks kasutamiseks andmise kord;Maa ajutiseks kasutuseks andmine
Maareformi seadus;Kasutusvaldusse antud maa omandamine
Maareformi käigus kasutusvaldusesse antud maa omandamise seadus;Kasutusvaldusse antud maa omandamine
Kinnisasja omandamise kitsendamise seadus;Kinnisasja omandamine
Etendusasutuse seadus;Etendustegevus
Toiduseadus1;Imporditavate loomade, loomsete saaduste ja teatava EL õiguasktiga hõlmatud miteloomsete toitude ja söötade esitamine veterinaar- ja toidukontrolliks tunnustatud piiripunktis
Loomade ja loomsete saadustega kauplemise ning nende impordi ja ekspordi seadus1[RT I, 29.06.2014, 2 - jõust. 01.07.2014] ;Imporditavate loomade, loomsete saaduste ja teatava EL õiguasktiga hõlmatud miteloomsete toitude ja söötade esitamine veterinaar- ja toidukontrolliks tunnustatud piiripunktis
Söödaseadus1;Avalduse esitamine mitteloomse sööda Euroopa Liitu vabasse ringlusse lubamise kohta
Nende söötade tariifne klassifikatsioon, mille vabasse ringlusse suunamisel tasutakse ametliku kontrolli toimingute eest riigilõivu[RT I, 28.06.2014, 16 - jõust. 01.07.2014] ;Avalduse esitamine mitteloomse sööda Euroopa Liitu vabasse ringlusse lubamise kohta
